# Generated by scripts/build-icon-map.ts — do not edit.
# kind	match	key	source	variant	licence	brand_hex	dark_ink
domain	archlinux.org	archlinux	gilbarbara	color	CC0-1.0		
domain	arduino.cc	arduino	gilbarbara	color	CC0-1.0		
domain	argoproj.github.io	argo	gilbarbara	color	CC0-1.0		
domain	argos.co.uk	argos	thesvg	color	CC0-1.0	#DA291C	
domain	ark-ui.com	arkui	thesvg	color	MIT	#000000	
domain	ark.io	arkecosystem	thesvg	color	CC0-1.0	#C9292C	
domain	arlo.com	arlo	thesvg	color	CC0-1.0	#49B48A	
domain	arm.com	arm	gilbarbara	color	CC0-1.0		
domain	armonika.dz	armonika	thesvg	color	CC-BY-4.0	#0055FF	
domain	armory.io	armory	gilbarbara	color	CC0-1.0		
domain	arstechnica.com	arstechnica	thesvg	color	CC0-1.0	#FF4E00	
domain	artixlinux.org	artixlinux	thesvg	color	CC0-1.0	#10A0CC	
domain	artstation.com	artstation	thesvg	color	CC0-1.0	#13AFF0	
domain	arxiv.org	arxiv	thesvg	color	CC0-1.0	#B31B1B	1
domain	asaas.com	asaas	thesvg	color	Trademark	#0066FF	1
domain	asana.com	asana	gilbarbara	color	CC0-1.0		
domain	asda.com	asda	thesvg	color	CC0-1.0	#68A51C	
domain	aseprite.org	aseprite	thesvg	color	CC0-1.0	#7D929E	
domain	askverdict.ai	askverdictai	thesvg	color+theme	MIT	#E8A317	
domain	assembla.com	assembla	gilbarbara	color	CC0-1.0		1
domain	assemblyai.com	assemblyai	thesvg	color	MIT	#2545D3	
domain	assemblyscript.org	assemblyscript	thesvg	color	CC0-1.0	#007ACC	
domain	astonmartin.com	astonmartin	thesvg	color	CC0-1.0	#00665E	1
domain	astrazeneca.com	astrazeneca	thesvg	color	CC0-1.0	#830051	1
domain	astro.build	astro	gilbarbara	color	CC0-1.0		
domain	astronomer.io	astronomer	gilbarbara	color	CC0-1.0		
domain	asus.com	asus	thesvg	color	CC0-1.0	#000000	1
domain	asyncapi.com	asyncapi	gilbarbara	color	CC0-1.0		
domain	atarivcs.com	atari	thesvg	color	CC0-1.0	#E4202E	
domain	atera.com	atera	thesvg	color	brand-use	#1B5E96	
domain	atlascloud.ai	atlascloud	thesvg	color	MIT	#7036F0	1
domain	atlasos.net	atlasos	thesvg	color	CC0-1.0	#1A91FF	
domain	atlassian.com	atlassian	gilbarbara	color	CC0-1.0		
domain	atom.io	atom	gilbarbara	color	CC0-1.0		
domain	atomic.io	atomic	gilbarbara	color	CC0-1.0		
domain	atomicojs.github.io	atomico	gilbarbara	color	CC0-1.0		1
domain	atproto.com	atproto	thesvg	color	MIT	#0085FF	
domain	att.com	atandt	thesvg	color	CC0-1.0	#009FDB	
domain	attio.com	attio	thesvg	color	Trademark	#2E3238	1
domain	auchan.fr	auchan	thesvg	color	CC0-1.0	#D6180B	
domain	audi.com	audi	thesvg	color	CC0-1.0	#BB0A30	1
domain	audible.com	audible	thesvg	color	CC0-1.0	#F8991C	
domain	audioboom.com	audioboom	thesvg	color	CC0-1.0	#007CE2	
domain	audiokinetic.com	wwise	thesvg	color	CC0-1.0	#00549F	1
domain	audiomack.com	audiomack	thesvg	color	CC0-1.0	#FFA200	
domain	aurelia.io	aurelia	gilbarbara	color	CC0-1.0		
domain	austrian.com	austrianairlines	thesvg	color	Fair Use	#E20A16	1
domain	autentique.com.br	autentique	thesvg	color	CC0-1.0	#3379F2	
domain	auth0.com	auth0	gilbarbara	color	CC0-1.0		1
domain	authjs.dev	authdotjs	thesvg	color	MIT	#000000	
domain	authy.com	authy	gilbarbara	color	CC0-1.0		
domain	autodesk.com	autodesk	thesvg	color	CC0-1.0	#000000	1
domain	autohotkey.com	autohotkey	thesvg	color	CC0-1.0	#334455	1
domain	autoitscript.com	autoit	gilbarbara	color	CC0-1.0		
domain	automattic.com	automattic	thesvg	color	CC0-1.0	#3499CD	
domain	autozone.com	autozone	thesvg	color	CC0-1.0	#D52B1E	
domain	avaloniaui.net	avaloniaui	thesvg	color	CC0-1.0	#165BFF	
domain	avast.com	avast	thesvg	color	CC0-1.0	#FF7800	
domain	avatars.githubusercontent.com	resurrectionremixos	thesvg	color	CC0-1.0	#000000	1
domain	avax.network	avalanche	thesvg	color	CC0-1.0	#E84142	
domain	avianca.com	avianca	thesvg	color	CC0-1.0	#FF0000	
domain	avid.com	avid	thesvg	color	Fair Use	#3E33FF	1
domain	avira.com	avira	thesvg	color	CC0-1.0	#E02027	
domain	aviva.com	aviva	thesvg	color	CC0-1.0	#FFE100	
domain	awaitwidget.com	await	thesvg	color	CC0-1.0	#7858F5	
domain	awesomewm.org	awesomewm	thesvg	color	CC0-1.0	#535D6C	1
domain	awwwards.com	awwwards	thesvg	color	CC0-1.0	#222222	1
domain	axa.com	axa	thesvg	color	CC0-1.0	#00008F	
domain	axiom.co	axiom	thesvg	color+theme	MIT	#000000	
domain	axios-http.com	axios	gilbarbara	color	CC0-1.0		1
domain	axisbank.com	axisbank	thesvg	color	CC0-1.0	#971A4D	1
domain	axure.com	axure	thesvg	color	MIT	#000000	
domain	azure.com	azureai	thesvg	color	MIT	#000	
domain	b3log.org	siyuan	thesvg	color	CC0-1.0	#D23F31	
domain	b4x.com	b4x	thesvg	color	CC0-1.0	#14AECB	
domain	baai.ac.cn	baai	thesvg	color	MIT	#000	1
